boolean,varchar,varchar
boolean,char,char
integer,tinyint,integer
integer,smallint,integer
integer,bigint,integer
integer,real,integer
integer,double,integer
integer,decimal,integer
integer,uuid,integer
tinyint,integer,integer
tinyint,double,double
smallint,double,double
smallint,integer,integer
smallint,bigint,bigint
double,decimal,double
decimal,double,double
varchar,char,varchar
varbinary,varchar,varchar
json,varchar,varchar
json,char,char
date,varchar,varchar
date,char,varchar
time,varchar,varchar
time with time zone,time,time
time with time zone,varchar,varchar
timestamp,varchar,varchar
timestamp,timestamp with time zone,timestamp
timestamp with time zone,varchar,varchar
